# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_design_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 345; 52.364; 540.369; 
0.74; 350; 52.364; 545.421; 
0.74; 355; 52.364; 550.217; 
0.74; 360; 52.364; 554.562; 
0.74; 365; 52.364; 558.085; 
0.74; 370; 52.364; 560.766; 
0.74; 375; 52.364; 561.504; 
0.74; 380; 52.364; 561.146; 
0.74; 385; 52.364; 559.94; 
0.74; 390; 52.364; 557.87; 
0.74; 395; 52.364; 554.969; 
0.74; 400; 52.364; 550.945; 
0.74; 405; 52.364; 545.922; 
0.74; 260; 53.6412; 427.934; 
0.74; 265; 53.6412; 434.581; 
0.74; 270; 53.6412; 441.178; 
0.74; 275; 53.6412; 447.825; 
0.74; 280; 53.6412; 454.476; 
0.74; 285; 53.6412; 461.028; 
0.74; 290; 53.6412; 467.566; 
0.74; 295; 53.6412; 474.111; 
0.74; 300; 53.6412; 480.482; 
0.74; 305; 53.6412; 486.819; 
0.74; 310; 53.6412; 493.121; 
0.74; 315; 53.6412; 499.25; 
0.74; 320; 53.6412; 505.245; 
0.74; 325; 53.6412; 511.158; 
0.74; 330; 53.6412; 516.896; 
0.74; 335; 53.6412; 522.386; 
0.74; 340; 53.6412; 527.689; 
0.74; 345; 53.6412; 532.732; 
0.74; 350; 53.6412; 537.333; 
0.74; 355; 53.6412; 541.492; 
0.74; 360; 53.6412; 545.282; 
0.74; 365; 53.6412; 547.941; 
0.74; 370; 53.6412; 548.668; 
0.74; 375; 53.6412; 548.384; 
0.74; 380; 53.6412; 547.239; 
0.74; 385; 53.6412; 545.2; 
0.74; 390; 53.6412; 542.361; 
0.74; 395; 53.6412; 538.467; 
0.74; 400; 53.6412; 533.552; 
0.74; 405; 53.6412; 525.892; 
0.74; 260; 54.9184; 424.907; 
0.74; 265; 54.9184; 431.355; 
0.74; 270; 54.9184; 437.777; 
0.74; 275; 54.9184; 444.236; 
0.74; 280; 54.9184; 450.687; 
0.74; 285; 54.9184; 457.007; 
0.74; 290; 54.9184; 463.324; 
0.74; 295; 54.9184; 469.635; 
0.74; 300; 54.9184; 475.761; 
0.74; 305; 54.9184; 481.839; 
0.74; 310; 54.9184; 487.868; 
0.74; 315; 54.9184; 493.712; 
0.74; 320; 54.9184; 499.411; 
0.74; 325; 54.9184; 505.012; 
0.74; 330; 54.9184; 510.422; 
0.74; 335; 54.9184; 515.526; 
0.74; 340; 54.9184; 520.396; 
0.74; 345; 54.9184; 525.01; 
0.74; 350; 54.9184; 529.006; 
0.74; 355; 54.9184; 532.64; 
0.74; 360; 54.9184; 535.521; 
0.74; 365; 54.9184; 536.402; 
0.74; 370; 54.9184; 536.144; 
0.74; 375; 54.9184; 535.103; 
0.74; 380; 54.9184; 533.146; 
0.74; 385; 54.9184; 530.366; 
0.74; 390; 54.9184; 526.587; 
0.74; 395; 54.9184; 521.846; 
0.74; 400; 54.9184; 514.4; 
0.74; 405; 54.9184; 504.905; 
0.74; 260; 56.1955; 421.812; 
0.74; 265; 56.1955; 428.094; 
0.74; 270; 56.1955; 434.338; 
0.74; 275; 56.1955; 440.607; 
0.74; 280; 56.1955; 446.84; 
0.74; 285; 56.1955; 452.943; 
0.74; 290; 56.1955; 459.038; 
0.74; 295; 56.1955; 465.115; 
0.74; 300; 56.1955; 470.995; 
0.74; 305; 56.1955; 476.815; 
0.74; 310; 56.1955; 482.572; 
0.74; 315; 56.1955; 488.133; 
0.74; 320; 56.1955; 493.536; 
0.74; 325; 56.1955; 498.825; 
0.74; 330; 56.1955; 503.869; 
0.74; 335; 56.1955; 508.561; 
0.74; 340; 56.1955; 513.024; 
0.74; 345; 56.1955; 517.063; 
0.74; 350; 56.1955; 520.383; 
0.74; 355; 56.1955; 523.055; 
0.74; 360; 56.1955; 524.543; 
0.74; 365; 56.1955; 524.449; 
0.74; 370; 56.1955; 523.489; 
0.74; 375; 56.1955; 521.639; 
0.74; 380; 56.1955; 518.957; 
0.74; 385; 56.1955; 515.301; 
0.74; 390; 56.1955; 510.692; 
0.74; 395; 56.1955; 503.572; 
0.74; 400; 56.1955; 494.316; 
0.74; 405; 56.1955; 483.869; 
0.74; 260; 57.4727; 418.686; 
0.74; 265; 57.4727; 424.798; 
0.74; 270; 57.4727; 430.862; 
0.74; 275; 57.4727; 436.924; 
0.74; 280; 57.4727; 442.946; 
0.74; 285; 57.4727; 448.84; 
0.74; 290; 57.4727; 454.713; 
0.74; 295; 57.4727; 460.555; 
0.74; 300; 57.4727; 466.189; 
0.74; 305; 57.4727; 471.751; 
0.74; 310; 57.4727; 477.239; 
0.74; 315; 57.4727; 482.518; 
0.74; 320; 57.4727; 487.624; 
0.74; 325; 57.4727; 492.567; 
0.74; 330; 57.4727; 497.215; 
0.74; 335; 57.4727; 501.522; 
0.74; 340; 57.4727; 505.316; 
0.74; 345; 57.4727; 508.572; 
0.74; 350; 57.4727; 511.201; 
0.74; 355; 57.4727; 512.675; 
0.74; 360; 57.4727; 513.148; 
0.74; 365; 57.4727; 512.397; 
0.74; 370; 57.4727; 510.641; 
0.74; 375; 57.4727; 508.08; 
0.74; 380; 57.4727; 504.588; 
0.74; 385; 57.4727; 500.098; 
0.74; 390; 57.4727; 493.397; 
0.74; 395; 57.4727; 484.347; 
0.74; 400; 57.4727; 474.234; 
0.74; 405; 57.4727; 462.956; 
0.74; 260; 58.7499; 415.53; 
0.74; 265; 58.7499; 421.47; 
0.74; 270; 58.7499; 427.336; 
0.74; 275; 58.7499; 433.196; 
0.74; 280; 58.7499; 439.017; 
0.74; 285; 58.7499; 444.7; 
0.74; 290; 58.7499; 450.35; 
0.74; 295; 58.7499; 455.958; 
0.74; 300; 58.7499; 461.347; 
0.74; 305; 58.7499; 466.652; 
0.74; 310; 58.7499; 471.871; 
0.74; 315; 58.7499; 476.868; 
0.74; 320; 58.7499; 481.649; 
0.74; 325; 58.7499; 486.21; 
0.74; 330; 58.7499; 490.382; 
0.74; 335; 58.7499; 493.97; 
0.74; 340; 58.7499; 497.136; 
0.74; 345; 58.7499; 499.915; 
0.74; 350; 58.7499; 501.393; 
0.74; 355; 58.7499; 501.869; 
0.74; 360; 58.7499; 501.657; 
0.74; 365; 58.7499; 500.146; 
0.74; 370; 58.7499; 497.697; 
0.74; 375; 58.7499; 494.406; 
0.74; 380; 58.7499; 490.047; 
0.74; 385; 58.7499; 483.802; 
0.74; 390; 58.7499; 475.003; 
0.74; 395; 58.7499; 465.201; 
0.74; 400; 58.7499; 454.195; 
0.74; 405; 58.7499; 439.879; 
0.74; 260; 60.027; 412.344; 
0.74; 265; 60.027; 418.092; 
0.74; 270; 60.027; 423.766; 
0.74; 275; 60.027; 429.435; 
0.74; 280; 60.027; 435.055; 
0.74; 285; 60.027; 440.527; 
0.74; 290; 60.027; 445.954; 
0.74; 295; 60.027; 451.327; 
0.74; 300; 60.027; 456.473; 
0.74; 305; 60.027; 461.522; 
