# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_liftDistribution_078_plot.csv
# (1)C_L; (2)C_Lw; (3)y, m; (4)C_l; (5)Cl*l, m
-0.040000;0.000568;16.468570;0.081504;1.107290
-0.040000;0.000568;16.706270;0.045714;1.040147


-0.030000;0.010273;0.330666;-0.100737;6.019268
-0.030000;0.010273;0.991996;-0.093740;6.019268
-0.030000;0.010273;1.653327;-0.072319;6.019268
-0.030000;0.010273;2.491627;-0.018643;5.739122
-0.030000;0.010273;3.506896;0.009808;5.178829
-0.030000;0.010273;4.522165;0.019956;4.618536
-0.030000;0.010273;5.864917;0.028886;4.102494
-0.030000;0.010273;7.518152;0.040310;3.635507
-0.030000;0.010273;9.120731;0.050034;3.182828
-0.030000;0.010273;10.640030;0.057930;2.753673
-0.030000;0.010273;12.045120;0.064682;2.356778
-0.030000;0.010273;13.307400;0.070694;2.000223
-0.030000;0.010273;14.401170;0.076487;1.691267
-0.030000;0.010273;15.304170;0.083098;1.436197
-0.030000;0.010273;15.998010;0.090872;1.240209
-0.030000;0.010273;16.468570;0.089596;1.107290
-0.030000;0.010273;16.706270;0.049223;1.040147


-0.020000;0.019979;0.330666;-0.093105;6.019268
-0.020000;0.019979;0.991996;-0.086134;6.019268
-0.020000;0.019979;1.653327;-0.064784;6.019268
-0.020000;0.019979;2.491627;-0.010813;5.739122
-0.020000;0.019979;3.506896;0.018324;5.178829
-0.020000;0.019979;4.522165;0.029244;4.618536
-0.020000;0.019979;5.864917;0.038885;4.102494
-0.020000;0.019979;7.518152;0.050904;3.635507
-0.020000;0.019979;9.120731;0.061227;3.182828
-0.020000;0.019979;10.640030;0.069702;2.753673
-0.020000;0.019979;12.045120;0.076987;2.356778
-0.020000;0.019979;13.307400;0.083430;2.000223
-0.020000;0.019979;14.401170;0.089422;1.691267
-0.020000;0.019979;15.304170;0.095695;1.436197
-0.020000;0.019979;15.998010;0.102033;1.240209
-0.020000;0.019979;16.468570;0.097687;1.107290
-0.020000;0.019979;16.706270;0.052731;1.040147


-0.010000;0.029685;0.330666;-0.085471;6.019268
-0.010000;0.029685;0.991996;-0.078528;6.019268
-0.010000;0.029685;1.653327;-0.057249;6.019268
-0.010000;0.029685;2.491627;-0.002982;5.739122
-0.010000;0.029685;3.506896;0.026841;5.178829
-0.010000;0.029685;4.522165;0.038532;4.618536
-0.010000;0.029685;5.864917;0.048884;4.102494
-0.010000;0.029685;7.518152;0.061497;3.635507
-0.010000;0.029685;9.120731;0.072420;3.182828
-0.010000;0.029685;10.640030;0.081474;2.753673
-0.010000;0.029685;12.045120;0.089292;2.356778
-0.010000;0.029685;13.307400;0.096166;2.000223
-0.010000;0.029685;14.401170;0.102356;1.691267
-0.010000;0.029685;15.304170;0.108292;1.436197
-0.010000;0.029685;15.998010;0.113194;1.240209
-0.010000;0.029685;16.468570;0.105777;1.107290
-0.010000;0.029685;16.706270;0.056239;1.040147


0.000000;0.039391;0.330666;-0.077838;6.019268
0.000000;0.039391;0.991996;-0.070922;6.019268
0.000000;0.039391;1.653327;-0.049713;6.019268
0.000000;0.039391;2.491627;0.004848;5.739122
0.000000;0.039391;3.506896;0.035357;5.178829
0.000000;0.039391;4.522165;0.047820;4.618536
