# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_study_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 370; 58.809; 497.098; 
0.74; 375; 58.809; 493.753; 
0.74; 380; 58.809; 489.373; 
0.74; 385; 58.809; 482.971; 
0.74; 390; 58.809; 474.157; 
0.74; 395; 58.809; 464.295; 
0.74; 400; 58.809; 453.282; 
0.74; 405; 58.809; 438.657; 
0.74; 260; 60.0875; 412.19; 
0.74; 265; 60.0875; 417.933; 
0.74; 270; 60.0875; 423.598; 
0.74; 275; 60.0875; 429.257; 
0.74; 280; 60.0875; 434.866; 
0.74; 285; 60.0875; 440.327; 
0.74; 290; 60.0875; 445.743; 
0.74; 295; 60.0875; 451.105; 
0.74; 300; 60.0875; 456.238; 
0.74; 305; 60.0875; 461.276; 
0.74; 310; 60.0875; 466.212; 
0.74; 315; 60.0875; 470.868; 
0.74; 320; 60.0875; 475.159; 
0.74; 325; 60.0875; 479.21; 
0.74; 330; 60.0875; 482.787; 
0.74; 335; 60.0875; 485.837; 
0.74; 340; 60.0875; 488.54; 
0.74; 345; 60.0875; 490.189; 
0.74; 350; 60.0875; 490.652; 
0.74; 355; 60.0875; 490.454; 
0.74; 360; 60.0875; 489.47; 
0.74; 365; 60.0875; 487.204; 
0.74; 370; 60.0875; 484.051; 
0.74; 375; 60.0875; 479.848; 
0.74; 380; 60.0875; 473.856; 
0.74; 385; 60.0875; 465.375; 
0.74; 390; 60.0875; 455.895; 
0.74; 395; 60.0875; 445.095; 
0.74; 400; 60.0875; 431.545; 
0.74; 405; 60.0875; 412.94; 
0.74; 260; 61.366; 408.951; 
0.74; 265; 61.366; 414.51; 
0.74; 270; 61.366; 419.993; 
0.74; 275; 61.366; 425.46; 
0.74; 280; 61.366; 430.868; 
0.74; 285; 61.366; 436.116; 
0.74; 290; 61.366; 441.309; 
0.74; 295; 61.366; 446.438; 
0.74; 300; 61.366; 451.328; 
0.74; 305; 61.366; 456.06; 
0.74; 310; 61.366; 460.632; 
0.74; 315; 61.366; 464.843; 
0.74; 320; 61.366; 468.773; 
0.74; 325; 61.366; 472.328; 
0.74; 330; 61.366; 475.4; 
0.74; 335; 61.366; 478.029; 
0.74; 340; 61.366; 479.809; 
0.74; 345; 61.366; 480.446; 
0.74; 350; 61.366; 480.293; 
0.74; 355; 61.366; 479.446; 
0.74; 360; 61.366; 477.681; 
0.74; 365; 61.366; 474.746; 
0.74; 370; 61.366; 470.8; 
0.74; 375; 61.366; 465.242; 
0.74; 380; 61.366; 457.088; 
0.74; 385; 61.366; 447.89; 
0.74; 390; 61.366; 437.501; 
0.74; 395; 61.366; 424.997; 
0.74; 400; 61.366; 406.814; 
0.74; 405; 61.366; 387.878; 
0.74; 260; 62.6444; 405.675; 
0.74; 265; 62.6444; 411.06; 
0.74; 270; 62.6444; 416.362; 
0.74; 275; 62.6444; 421.636; 
0.74; 280; 62.6444; 426.841; 
0.74; 285; 62.6444; 431.873; 
0.74; 290; 62.6444; 436.824; 
0.74; 295; 62.6444; 441.682; 
0.74; 300; 62.6444; 446.278; 
0.74; 305; 62.6444; 450.716; 
0.74; 310; 62.6444; 454.905; 
0.74; 315; 62.6444; 458.781; 
0.74; 320; 62.6444; 462.256; 
0.74; 325; 62.6444; 465.311; 
0.74; 330; 62.6444; 467.981; 
0.74; 335; 62.6444; 469.825; 
0.74; 340; 62.6444; 470.567; 
0.74; 345; 62.6444; 470.612; 
0.74; 350; 62.6444; 469.841; 
0.74; 355; 62.6444; 468.273; 
0.74; 360; 62.6444; 465.801; 
0.74; 365; 62.6444; 462.192; 
0.74; 370; 62.6444; 457.146; 
0.74; 375; 62.6444; 449.327; 
0.74; 380; 62.6444; 440.347; 
0.74; 385; 62.6444; 430.411; 
0.74; 390; 62.6444; 419.042; 
0.74; 395; 62.6444; 401.204; 
0.74; 400; 62.6444; 382.887; 
0.74; 405; 62.6444; -nan(ind); 
0.74; 260; 63.9229; 402.378; 
0.74; 265; 63.9229; 407.591; 
0.74; 270; 63.9229; 412.708; 
0.74; 275; 63.9229; 417.782; 
0.74; 280; 63.9229; 422.761; 
0.74; 285; 63.9229; 427.552; 
0.74; 290; 63.9229; 432.258; 
0.74; 295; 63.9229; 436.861; 
0.74; 300; 63.9229; 441.185; 
0.74; 305; 63.9229; 445.268; 
0.74; 310; 63.9229; 449.151; 
0.74; 315; 63.9229; 452.612; 
0.74; 320; 63.9229; 455.59; 
0.74; 325; 63.9229; 458.262; 
0.74; 330; 63.9229; 460.241; 
0.74; 335; 63.9229; 461.12; 
0.74; 340; 63.9229; 461.238; 
0.74; 345; 63.9229; 460.687; 
0.74; 350; 63.9229; 459.299; 
0.74; 355; 63.9229; 456.996; 
0.74; 360; 63.9229; 453.834; 
0.74; 365; 63.9229; 449.439; 
0.74; 370; 63.9229; 441.924; 
0.74; 375; 63.9229; 433.298; 
0.74; 380; 63.9229; 423.716; 
0.74; 385; 63.9229; 412.954; 
0.74; 390; 63.9229; 396.3; 
0.74; 395; 63.9229; 378.322; 
0.74; 400; 63.9229; -nan(ind); 
0.74; 405; 63.9229; -nan(ind); 
0.74; 260; 65.2013; 399.083; 
0.74; 265; 65.2013; 404.113; 
0.74; 270; 65.2013; 409.023; 
0.74; 275; 65.2013; 413.879; 
0.74; 280; 65.2013; 418.638; 
0.74; 285; 65.2013; 423.203; 
0.74; 290; 65.2013; 427.669; 
0.74; 295; 65.2013; 432.015; 
0.74; 300; 65.2013; 436.001; 
0.74; 305; 65.2013; 439.791; 
0.74; 310; 65.2013; 443.315; 
0.74; 315; 65.2013; 446.277; 
0.74; 320; 65.2013; 448.893; 
0.74; 325; 65.2013; 450.971; 
0.74; 330; 65.2013; 452.033; 
0.74; 335; 65.2013; 452.274; 
0.74; 340; 65.2013; 451.819; 
0.74; 345; 65.2013; 450.671; 
0.74; 350; 65.2013; 448.616; 
0.74; 355; 65.2013; 445.631; 
0.74; 360; 65.2013; 441.783; 
0.74; 365; 65.2013; 434.891; 
0.74; 370; 65.2013; 426.721; 
0.74; 375; 65.2013; 417.359; 
0.74; 380; 65.2013; 407.034; 
0.74; 385; 65.2013; 391.851; 
0.74; 390; 65.2013; 374.214; 
0.74; 395; 65.2013; -nan(ind); 
0.74; 400; 65.2013; -nan(ind); 
